Index,DigiKey Part #,Manufacturer Part Number,Manufacturer,Description,Customer Reference,Quantity,Backorder,Unit Price,Extended Price
1,W25Q512JVFIQ-ND,W25Q512JVFIQ,Winbond Electronics,IC FLASH 512MBIT SPI/QUAD 16SOIC,DAISY,2,0,$6.06000,$12.12
2,296-1282-1-ND,TL072CDR,Texas Instruments,IC OPAMP JFET 2 CIRCUIT 8SOIC,DAISY,5,0,$0.28000,$1.40
3,2129-NJM4580D-ND,NJM4580D,Nisshinbo Micro Devices Inc.,IC AUDIO 2 CIRCUIT 8DIP,DAISY,2,0,$1.04000,$2.08
4,RMCF0603JT3K30CT-ND,RMCF0603JT3K30,Stackpole Electronics Inc,RES 3.3K OHM 5% 1/10W 0603,DAISY,300,0,$0.00860,$2.58
5,1276-CL10B222KB8WPJCCT-ND,CL10B222KB8WPJC,Samsung Electro-Mechanics,CAP CER 2.2NF 50V X7R 0603,DAISY,20,0,$0.05900,$1.18
6,CP-102AH-ND,PJ-102AH,Same Sky (Formerly CUI Devices),CONN PWR JACK 2X5.5MM SOLDER,DAISY,5,0,$0.76000,$3.80
7,311-3.30KHRCT-ND,RC0603FR-073K3L,YAGEO,RES 3.3K OHM 1% 1/10W 0603,DAISY,25,0,$0.00900,$0.23
8,1937-IO-TJ4HF-ND,IO-TJ4HF,IO Audio Technologies,"4 PIN 1/4"" JACK PCB FULL-THREADE",DAISY,10,0,$1.39100,$13.91
9,IRF7493PBFCT-ND,IRF7493TRPBF,Infineon Technologies,MOSFET N-CH 80V 9.3A 8SO,WIRE_HARNESS,10,0,$0.61000,$6.10
10,311-33.0KHRCT-ND,RC0603FR-0733KL,YAGEO,RES 33K OHM 1% 1/10W 0603,WIRE_HARNESS,1000,0,$0.00510,$5.10
11,296-8250-1-ND,SN74HC165DR,Texas Instruments,IC SHIFT REGTR COMP 8BIT 16-SOIC,MATRIXSR,25,0,$0.14200,$3.55
,,,,,,,,Subtotal,$52.05
